date,HEROMOTOCO-ICICIBANK,COALINDIA-ONGC,HEROMOTOCO-KOTAKBANK,HINDALCO-TATAMOTORS,BRITANNIA-MARUTI,Yearly_PnL,Cumulative_PnL,HCLTECH-WIPRO,EICHERMOT-M&M,HINDUNILVR-TATASTEEL,HINDUNILVR-KOTAKBANK,HCLTECH-TCS,ASIANPAINT-WIPRO,NTPC-ONGC,BRITANNIA-HINDUNILVR,SUNPHARMA-WIPRO,ONGC-WIPRO,HDFCBANK-LT,HCLTECH-ONGC,BPCL-ONGC,DRREDDY-ICICIBANK,BAJAJFINSV-TATAMOTORS,AXISBANK-TATACONSUM,BHARTIARTL-GRASIM,GRASIM-TITAN,BAJAJFINSV-INDUSINDBK,NESTLEIND-TATACONSUM,NESTLEIND-RELIANCE,KOTAKBANK-UPL,CIPLA-HINDUNILVR,LT-TECHM,Total_PnL,Cumulative_Total
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2019-01-02,-1000.0,-1000.0,-1000.0,-1000.0,0.0,-4000.0,-4000.0,,,,,,,,,,,,,,,,,,,,,,,,,-4000.0,-4000.0
2019-01-03,17214.45000000014,-36832.6000000001,13451.649999999987,21126.350000000108,0.0,14959.850000000133,10959.850000000133,,,,,,,,,,,,,,,,,,,,,,,,,14959.850000000133,10959.850000000133
2019-01-04,-87.64999999988504,25836.89999999983,2905.9000000000397,-545.7000000001171,-0.0,28109.44999999987,39069.3,,,,,,,,,,,,,,,,,,,,,,,,,28109.44999999987,39069.3
2019-01-07,-1489.5999999999713,29819.750000000055,11006.900000000098,17752.49999999998,0.0,57089.55000000016,96158.85000000017,,,,,,,,,,,,,,,,,,,,,,,,,57089.55000000016,96158.85000000017
2019-01-08,-62849.95000000007,1665.5999999998935,4350.4999999997835,16568.750000000047,-0.0,-40265.10000000034,55893.749999999825,,,,,,,,,,,,,,,,,,,,,,,,,-40265.10000000034,55893.749999999825
2019-01-09,1883.100000000024,-17540.84999999976,6784.850000000171,7298.100000000088,0.0,-1574.7999999994754,54318.950000000346,,,,,,,,,,,,,,,,,,,,,,,,,-1574.7999999994754,54318.950000000346
2019-01-10,18753.899999999936,-21480.650000000085,15556.199999999959,-0.0,0.0,12829.44999999981,67148.40000000015,,,,,,,,,,,,,,,,,,,,,,,,,12829.44999999981,67148.40000000015
2019-01-11,11515.999999999949,17215.800000000054,5360.099999999955,0.0,0.0,34091.89999999996,101240.3000000001,,,,,,,,,,,,,,,,,,,,,,,,,34091.89999999996,101240.3000000001
2019-01-14,35261.64999999995,-5464.80000000019,17238.250000000022,0.0,0.0,47035.09999999978,148275.39999999988,,,,,,,,,,,,,,,,,,,,,,,,,47035.09999999978,148275.39999999988
2019-01-15,-13087.949999999828,8584.350000000166,-16697.54999999998,0.0,0.0,-21201.149999999645,127074.25000000023,,,,,,,,,,,,,,,,,,,,,,,,,-21201.149999999645,127074.25000000023
2019-01-16,-755.3000000000848,14403.599999999864,16439.20000000001,-0.0,0.0,30087.49999999979,157161.75000000003,,,,,,,,,,,,,,,,,,,,,,,,,30087.49999999979,157161.75000000003
2019-01-17,-5325.800000000052,-12986.999999999945,-17287.600000000024,0.0,0.0,-35600.40000000002,121561.35,,,,,,,,,,,,,,,,,,,,,,,,,-35600.40000000002,121561.35
2019-01-18,13730.450000000072,26454.400000000052,-8413.800000000032,0.0,-0.0,31771.05000000009,153332.40000000008,,,,,,,,,,,,,,,,,,,,,,,,,31771.05000000009,153332.40000000008
2019-01-21,38700.60000000005,-15008.650000000107,22798.30000000007,0.0,0.0,46490.250000000015,199822.65000000008,,,,,,,,,,,,,,,,,,,,,,,,,46490.250000000015,199822.65000000008
2019-01-22,953.9999999998599,2440.600000000056,0.0,0.0,0.0,3394.599999999916,203217.25,,,,,,,,,,,,,,,,,,,,,,,,,3394.599999999916,203217.25
2019-01-23,18353.250000000262,106.25000000011278,-0.0,0.0,0.0,18459.500000000375,221676.75000000038,,,,,,,,,,,,,,,,,,,,,,,,,18459.500000000375,221676.75000000038
2019-01-24,14366.24999999984,-7649.300000000142,-0.0,0.0,0.0,6716.949999999698,228393.70000000007,,,,,,,,,,,,,,,,,,,,,,,,,6716.949999999698,228393.70000000007
2019-01-25,79675.0,16887.30000000014,-0.0,0.0,-1000.0,95562.30000000013,323956.00000000023,,,,,,,,,,,,,,,,,,,,,,,,,95562.30000000013,323956.00000000023
2019-01-28,-0.0,-24133.699999999943,-0.0,0.0,873.850000000114,-23259.849999999828,300696.15000000043,,,,,,,,,,,,,,,,,,,,,,,,,-23259.849999999828,300696.15000000043
2019-01-29,0.0,6650.149999999948,0.0,-0.0,8143.499999999867,14793.649999999816,315489.8000000002,,,,,,,,,,,,,,,,,,,,,,,,,14793.649999999816,315489.8000000002
2019-01-30,0.0,-26279.55000000012,-0.0,0.0,-7898.599999999992,-34178.15000000011,281311.65000000014,,,,,,,,,,,,,,,,,,,,,,,,,-34178.15000000011,281311.65000000014
2019-01-31,0.0,18271.550000000032,0.0,0.0,8386.900000000094,26658.450000000128,307970.10000000027,,,,,,,,,,,,,,,,,,,,,,,,,26658.450000000128,307970.10000000027
2019-02-01,0.0,12415.300000000194,0.0,0.0,16.89999999997235,12432.200000000166,320402.30000000045,,,,,,,,,,,,,,,,,,,,,,,,,12432.200000000166,320402.30000000045
2019-02-04,-0.0,48531.79999999986,0.0,0.0,-3325.000000000018,45206.79999999984,365609.1000000003,,,,,,,,,,,,,,,,,,,,,,,,,45206.79999999984,365609.1000000003
2019-02-05,0.0,0.0,0.0,0.0,35548.69999999997,35548.69999999997,401157.8000000003,,,,,,,,,,,,,,,,,,,,,,,,,35548.69999999997,401157.8000000003
2019-02-06,0.0,0.0,0.0,0.0,-134.4000000000069,-134.4000000000069,401023.40000000026,,,,,,,,,,,,,,,,,,,,,,,,,-134.4000000000069,401023.40000000026
2019-02-07,-1000.0,0.0,-1000.0,-0.0,-4548.599999999917,-6548.599999999917,394474.80000000034,,,,,,,,,,,,,,,,,,,,,,,,,-6548.599999999917,394474.80000000034
2019-02-08,17181.399999999878,0.0,-6998.199999999969,-1000.0,23296.699999999968,32479.899999999878,426954.7000000002,,,,,,,,,,,,,,,,,,,,,,,,,32479.899999999878,426954.7000000002
2019-02-11,42112.999999999956,0.0,16519.09999999997,34650.45000000011,-0.0,93282.55000000005,520237.25000000023,,,,,,,,,,,,,,,,,,,,,,,,,93282.55000000005,520237.25000000023
2019-02-12,59524.0,-1000.0,33493.49999999994,3084.8499999999813,0.0,95102.34999999992,615339.6000000001,,,,,,,,,,,,,,,,,,,,,,,,,95102.34999999992,615339.6000000001
2019-02-13,-0.0,-28119.89999999976,16961.8500000002,-0.0,0.0,-11158.049999999563,604181.5500000005,,,,,,,,,,,,,,,,,,,,,,,,,-11158.049999999563,604181.5500000005
2019-02-14,0.0,1632.9000000000542,0.0,-0.0,0.0,1632.9000000000542,605814.4500000005,,,,,,,,,,,,,,,,,,,,,,,,,1632.9000000000542,605814.4500000005
2019-02-15,-0.0,16879.84999999994,-0.0,-1000.0,0.0,15879.84999999994,621694.3000000005,,,,,,,,,,,,,,,,,,,,,,,,,15879.84999999994,621694.3000000005
2019-02-18,-0.0,45424.49999999986,-0.0,-12972.199999999908,0.0,32452.299999999952,654146.6000000004,,,,,,,,,,,,,,,,,,,,,,,,,32452.299999999952,654146.6000000004
2019-02-19,0.0,24613.600000000148,0.0,9497.550000000008,0.0,34111.150000000154,688257.7500000006,,,,,,,,,,,,,,,,,,,,,,,,,34111.150000000154,688257.7500000006
2019-02-20,0.0,0.0,0.0,32925.599999999926,0.0,32925.599999999926,721183.3500000006,,,,,,,,,,,,,,,,,,,,,,,,,32925.599999999926,721183.3500000006
2019-02-21,0.0,-0.0,0.0,-380.7999999999347,0.0,-380.7999999999347,720802.5500000006,,,,,,,,,,,,,,,,,,,,,,,,,-380.7999999999347,720802.5500000006
