Date,Price_A,Price_B,Spread,ZScore,Position,Quantity_A,Quantity_B,Daily_PnL,Cumulative_PnL
2024-05-13,1641.2,534.1,1190.8774514992815,-2.5162450292021465,1.0,609.0,-1579.0,-45960.50000000008,168012.54999999984
2024-05-14,1646.3,510.05,1216.255034894605,-2.0170401465012726,1.0,607.0,-1653.0,41080.84999999996,209093.3999999998
2024-05-15,1650.8,514.8,1216.7501067811834,-2.007301539825531,1.0,606.0,-1638.0,-5120.249999999906,203973.14999999988
2024-05-16,1672.05,510.0,1242.0471920326409,-1.5096801438515157,1.0,598.0,-1653.0,20739.899999999925,224713.0499999998
2024-05-17,1696.55,511.25,1265.4932635817404,-1.0484702163679787,1.0,589.0,-1649.0,12584.75,237297.7999999998
2024-05-18,1696.95,511.4,1265.7667921676325,-1.0430896092586048,1.0,589.0,-1649.0,-11.749999999908937,237286.0499999999
2024-05-21,1698.25,512.1,1266.4765922351282,-1.0291270638926588,1.0,589.0,-1646.0,-388.6000000001018,236897.4499999998
2024-05-22,1699.55,515.55,1264.8677497106432,-1.0607747598615238,1.0,588.0,-1635.0,-4912.9999999999145,231984.4499999999
2024-05-23,1709.05,510.85,1278.3305206860286,-0.7959472977307329,1.0,585.0,-1650.0,13270.499999999887,245254.94999999978
2024-05-24,1703.45,515.8,1268.5569640204633,-0.9882038705020789,1.0,587.0,-1635.0,-11443.499999999834,233811.44999999995
2024-05-27,1711.0,524.95,1268.3922077598722,-0.9914448067433818,1.0,584.0,-1606.0,-10528.400000000176,223283.04999999978
2024-05-28,1703.65,517.5,1267.3236213272387,-1.0124650731906935,1.0,587.0,-1629.0,7672.300000000127,230955.34999999992
2024-05-29,1687.85,517.25,1251.7344070174186,-1.3191220065835967,1.0,592.0,-1630.0,-8867.350000000108,222087.99999999983
2024-05-30,1690.1,506.1,1263.38544879945,-1.0899332435899631,1.0,592.0,-1666.0,19506.499999999964,241594.4999999998
2024-05-31,1680.4,508.8,1251.4089633455053,-1.325523840341067,1.0,595.0,-1657.0,-10240.599999999875,231353.8999999999
2024-06-03,1718.05,528.15,1272.7441509255673,-0.9058373143470799,1.0,582.0,-1596.0,-9661.200000000026,221692.6999999999
2024-06-04,1637.95,495.95,1219.7933478207615,-1.9474376527671189,1.0,611.0,-1700.0,4773.000000000029,226465.69999999992
2024-06-05,1718.1,528.45,1272.541208097351,-0.90982942223129,1.0,582.0,-1596.0,-6278.35000000018,220187.34999999974
2024-06-06,1734.7,537.4,1281.5950803889045,-0.7317298299696192,1.0,576.0,-1569.0,-4622.999999999813,215564.34999999992
2024-06-07,1753.7,539.75,1298.6136949012116,-0.3969550277749691,0.0,0.0,-0.0,6256.849999999964,221821.1999999999
2024-06-10,1745.65,551.5,1280.6567674627481,-0.7501874737468807,0.0,0.0,-0.0,-0.0,221821.1999999999
2024-06-11,1720.0,554.3,1252.6459677327312,-1.3011906081177285,0.0,0.0,-0.0,-0.0,221821.1999999999
