date,pnl_1,pnl_2,pnl_3,pnl_4,pnl_5,yearly_pnl,cumulative_pnl,year
2016-01-01,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2016
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
2016-01-05,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2016
2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
2016-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
2016-01-12,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2016
2016-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016
2016-01-15,0.0,-1000.0,0.0,-1000.0,-1000.0,-3000.0,-3000.0,2016
2016-01-18,0.0,-4789.20000000007,0.0,15010.499999999975,-7192.700000000003,3028.599999999902,28.59999999990214,2016
2016-01-19,0.0,832.0000000000291,0.0,5194.549999999949,8774.54000000002,14801.09,14829.689999999902,2016
2016-01-20,0.0,4096.950000000048,0.0,-15830.29999999989,13111.080000000033,1377.7300000001906,16207.420000000093,2016
2016-01-21,0.0,448.2999999999465,0.0,11877.749999999924,5416.779999999943,17742.829999999813,33950.249999999905,2016
2016-01-22,0.0,-3967.649999999976,0.0,17487.60000000007,-1535.100000000005,11984.85000000009,45935.09999999999,2016
2016-01-25,0.0,-2057.1000000000545,0.0,-325.0500000001057,-5278.6799999999985,-7660.830000000158,38274.26999999983,2016
2016-01-27,0.0,10557.350000000066,0.0,8431.050000000112,-10637.83999999994,8350.560000000236,46624.83000000007,2016
2016-01-28,0.0,11797.399999999947,0.0,3288.799999999916,-19630.540000000023,-4544.34000000016,42080.4899999999,2016
2016-01-29,0.0,-20188.499999999964,0.0,-29590.649999999914,-906.2999999999943,-50685.44999999987,-8604.95999999997,2016
2016-02-01,0.0,-24142.299999999977,0.0,-9065.449999999993,-9607.240000000002,-42814.989999999976,-51419.949999999946,2016
2016-02-02,-0.0,8208.799999999997,-0.0,11737.05000000001,1291.7300000000455,21237.580000000053,-30182.369999999893,2016
2016-02-03,-0.0,3944.149999999954,-0.0,5789.599999999968,4493.609999999986,14227.359999999908,-15955.009999999986,2016
2016-02-04,0.0,-25007.50000000003,-0.0,-10099.600000000022,3807.2999999999674,-31299.800000000083,-47254.81000000007,2016
