date,pnl_1,pnl_2,pnl_3,pnl_4,pnl_5,yearly_pnl,cumulative_pnl,year
2018-04-20,0.0,0.0,0.0,12456.350000000028,0.0,12456.350000000028,2286762.599999999,2018
2018-04-23,0.0,0.0,-0.0,0.0,0.0,0.0,2286762.599999999,2018
2018-04-24,0.0,0.0,0.0,0.0,-0.0,0.0,2286762.599999999,2018
2018-04-25,0.0,-1000.0,0.0,0.0,0.0,-1000.0,2285762.599999999,2018
2018-04-26,-0.0,39530.95000000031,0.0,-0.0,0.0,39530.95000000031,2325293.5499999993,2018
2018-04-27,-0.0,41691.34999999967,-0.0,-0.0,0.0,41691.34999999967,2366984.899999999,2018
2018-04-30,0.0,-15944.79999999973,0.0,0.0,0.0,-15944.79999999973,2351040.099999999,2018
2018-05-02,-0.0,-23524.449999999943,-0.0,0.0,0.0,-23524.449999999943,2327515.6499999994,2018
2018-05-03,0.0,22198.94999999977,0.0,0.0,-0.0,22198.94999999977,2349714.599999999,2018
2018-05-04,0.0,13619.100000000297,0.0,-0.0,0.0,13619.100000000297,2363333.6999999993,2018
2018-05-07,0.0,63173.49999999973,-0.0,0.0,0.0,63173.49999999973,2426507.199999999,2018
2018-05-08,0.0,44534.69999999994,0.0,0.0,0.0,44534.69999999994,2471041.8999999985,2018
2018-05-09,0.0,10316.800000000165,0.0,0.0,0.0,10316.800000000165,2481358.699999999,2018
2018-05-10,0.0,-6960.449999999972,0.0,0.0,-0.0,-6960.449999999972,2474398.2499999986,2018
2018-05-11,-0.0,87801.5999999999,-0.0,0.0,0.0,87801.5999999999,2562199.8499999987,2018
2018-05-14,0.0,0.0,0.0,0.0,0.0,0.0,2562199.8499999987,2018
2018-05-15,0.0,0.0,0.0,0.0,-0.0,0.0,2562199.8499999987,2018
2018-05-16,0.0,0.0,-0.0,-0.0,0.0,0.0,2562199.8499999987,2018
2018-05-17,-1000.0,0.0,0.0,-1000.0,0.0,-2000.0,2560199.8499999987,2018
2018-05-18,-9002.400000000096,0.0,0.0,4341.149999999809,0.0,-4661.250000000287,2555538.599999998,2018
2018-05-21,7061.9500000001335,-0.0,0.0,14864.550000000196,-1000.0,20926.500000000327,2576465.0999999987,2018
2018-05-22,3720.749999999866,0.0,0.0,-20830.70000000012,23409.4500000005,6299.500000000244,2582764.599999999,2018
2018-05-23,-17296.39999999998,0.0,0.0,-17793.75,361716.1999999993,326626.04999999935,2909390.6499999985,2018
2018-05-24,51887.10000000009,0.0,0.0,85362.00000000009,0.0,137249.10000000018,3046639.7499999986,2018
2018-05-25,0.0,0.0,0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-05-28,-0.0,-0.0,0.0,-0.0,0.0,0.0,3046639.7499999986,2018
2018-05-29,0.0,0.0,0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-05-30,0.0,0.0,-0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-05-31,0.0,-0.0,0.0,0.0,-0.0,0.0,3046639.7499999986,2018
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-06-04,-0.0,-0.0,-0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-06-05,0.0,-0.0,0.0,0.0,-0.0,0.0,3046639.7499999986,2018
2018-06-06,0.0,0.0,0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-06-07,0.0,0.0,0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-06-08,0.0,-0.0,-0.0,-0.0,-0.0,0.0,3046639.7499999986,2018
2018-06-11,0.0,0.0,-0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-06-12,0.0,-0.0,0.0,0.0,0.0,0.0,3046639.7499999986,2018
2018-06-13,0.0,-0.0,0.0,-0.0,0.0,0.0,3046639.7499999986,2018
2018-06-14,0.0,0.0,-1000.0,0.0,0.0,-1000.0,3045639.7499999986,2018
2018-06-15,0.0,0.0,7929.799999999605,0.0,0.0,7929.799999999605,3053569.5499999984,2018
2018-06-18,0.0,-0.0,64940.70000000034,-0.0,0.0,64940.70000000034,3118510.2499999986,2018
2018-06-19,0.0,0.0,-57465.90000000039,0.0,-0.0,-57465.90000000039,3061044.349999998,2018
2018-06-20,0.0,0.0,58323.74999999973,0.0,0.0,58323.74999999973,3119368.0999999978,2018
2018-06-21,0.0,-0.0,29100.700000000725,-0.0,-1000.0,28100.700000000725,3147468.7999999984,2018
2018-06-22,0.0,0.0,20236.649999999507,0.0,-4799.2999999989715,15437.350000000535,3162906.149999999,2018
2018-06-25,0.0,0.0,-47345.70000000036,0.0,-118805.40000000023,-166151.1000000006,2996755.0499999984,2018
2018-06-26,0.0,0.0,-0.0,0.0,41155.15000000029,41155.15000000029,3037910.199999999,2018
2018-06-27,0.0,0.0,0.0,0.0,-76848.50000000061,-76848.50000000061,2961061.6999999983,2018
2018-06-28,0.0,0.0,0.0,0.0,-97254.29999999994,-97254.29999999994,2863807.3999999985,2018
2018-06-29,0.0,0.0,-0.0,0.0,212493.10000000018,212493.10000000018,3076300.4999999986,2018
2018-07-02,0.0,0.0,0.0,0.0,-104165.7500000002,-104165.7500000002,2972134.7499999986,2018
2018-07-03,0.0,0.0,0.0,0.0,97022.84999999944,97022.84999999944,3069157.599999998,2018
2018-07-04,0.0,0.0,0.0,0.0,-52097.99999999945,-52097.99999999945,3017059.5999999987,2018
2018-07-05,-0.0,0.0,0.0,0.0,14090.400000000222,14090.400000000222,3031149.999999999,2018
2018-07-06,-0.0,-0.0,-1000.0,-0.0,-61649.70000000071,-62649.70000000071,2968500.2999999984,2018
2018-07-09,0.0,-0.0,-31352.600000000246,-0.0,89289.75000000074,57937.150000000496,3026437.449999999,2018
2018-07-10,0.0,0.0,-12887.00000000043,0.0,16855.849999999242,3968.8499999988126,3030406.2999999975,2018
2018-07-11,0.0,0.0,31555.89999999981,0.0,18413.850000000268,49969.75000000007,3080376.0499999975,2018
2018-07-12,0.0,0.0,-52597.74999999936,0.0,55267.49999999975,2669.750000000393,3083045.799999998,2018
2018-07-13,0.0,-0.0,-226636.80000000037,0.0,-180008.54999999976,-406645.3500000001,2676400.449999998,2018
2018-07-16,0.0,0.0,2358.200000000257,0.0,-6016.849999999276,-3658.649999999019,2672741.799999999,2018
2018-07-17,-0.0,-0.0,69975.80000000015,-0.0,90263.49999999977,160239.29999999993,2832981.0999999987,2018
2018-07-18,-0.0,-1000.0,35002.7999999995,0.0,175417.50000000023,209420.29999999973,3042401.3999999985,2018
2018-07-19,0.0,54874.75000000006,25536.500000000502,0.0,-0.0,80411.25000000055,3122812.649999999,2018
2018-07-20,0.0,110662.8000000002,-51598.299999999974,0.0,0.0,59064.50000000023,3181877.1499999994,2018
2018-07-23,0.0,3906.7000000000335,65501.29999999932,0.0,0.0,69407.99999999936,3251285.149999999,2018
2018-07-24,-0.0,-62042.5000000004,-1000.0,-0.0,-1000.0,-64042.5000000004,3187242.6499999985,2018
2018-07-25,0.0,28730.40000000016,41598.000000000495,0.0,93199.35000000102,163527.7500000017,3350770.4000000004,2018
2018-07-26,0.0,115172.6000000002,31498.699999999495,0.0,109549.0,256220.2999999997,3606990.7,2018
2018-07-27,0.0,0.0,23097.200000000164,0.0,-53072.50000000001,-29975.299999999843,3577015.4000000004,2018
2018-07-30,0.0,0.0,-50958.100000000224,0.0,121625.94999999925,70667.84999999903,3647683.2499999995,2018
2018-07-31,0.0,0.0,-3613.749999999778,0.0,61385.5999999998,57771.85000000002,3705455.0999999996,2018
2018-08-01,-0.0,-0.0,2411.2499999994225,-0.0,55998.59999999997,58409.849999999395,3763864.9499999993,2018
2018-08-02,0.0,-0.0,73163.20000000056,0.0,-16594.49999999936,56568.700000001205,3820433.6500000004,2018
2018-08-03,0.0,0.0,-25915.600000000337,0.0,23113.60000000023,-2802.0000000001055,3817631.6500000004,2018
